,value
2016-03-21,102903619.40599975
2016-03-22,105894788.40599973
2016-03-23,105201908.40599973
2016-03-24,106127022.40599973
2016-03-25,104306357.40599975
2016-03-28,104807642.40599975
2016-03-29,104042879.40599975
2016-03-30,102522752.40599975
2016-03-31,105821512.40599975
2016-04-01,105913920.40599975
2016-04-05,105697171.93499976
2016-04-06,108051329.93499976
2016-04-07,108027734.93499976
2016-04-08,106170586.93499976
2016-04-11,105245370.93499976
2016-04-12,107134690.93499976
2016-04-13,106769779.93499976
2016-04-14,108623136.93499976
2016-04-15,109246966.93499976
2016-04-18,108855313.93499976
2016-04-19,107079141.93499976
2016-04-20,107508266.93499978
2016-04-21,104251894.9349998
2016-04-22,103333331.93499981
2016-04-25,103636378.93499981
2016-04-26,103149078.93499981
2016-04-27,103881414.93499981
2016-04-28,103277663.93499981
2016-04-29,103174116.93499981
2016-05-03,103006878.93499981
2016-05-04,103042427.58799984
2016-05-05,103042427.58799984
2016-05-06,103042427.58799984
2016-05-09,103042427.58799984
2016-05-10,103042427.58799984
2016-05-11,103042427.58799984
2016-05-12,103042427.58799984
2016-05-13,103042427.58799984
2016-05-16,103042427.58799984
2016-05-17,103042427.58799984
2016-05-18,103042427.58799984
2016-05-19,103042427.58799984
2016-05-20,103042427.58799984
2016-05-23,103042427.58799984
2016-05-24,103042427.58799984
2016-05-25,103042427.58799984
2016-05-26,103042427.58799984
2016-05-27,103042427.58799984
2016-05-30,103042427.58799984
2016-05-31,103042427.58799984
2016-06-01,103042427.58799984
2016-06-02,102799263.98699981
2016-06-03,103250327.98699981
2016-06-06,103921686.98699981
2016-06-07,103830620.98699981
2016-06-08,103905397.9869998
2016-06-13,103521776.9869998
2016-06-14,99786196.98699981
2016-06-15,99860134.98699981
2016-06-16,101650088.98699981
2016-06-17,100827155.98699981
2016-06-20,101836639.98699981
2016-06-21,101759124.98699981
2016-06-22,101529629.98699981
2016-06-23,102985177.98699981
2016-06-24,102603866.98699981
2016-06-27,101485353.98699981
2016-06-28,103196362.98699981
2016-06-29,104007708.98699982
2016-06-30,104089567.98699982
2016-07-01,104171737.98699981
2016-07-04,104003873.23299982
2016-07-05,105967126.2329998
2016-07-06,106728835.23299979
2016-07-07,107007767.23299979
2016-07-08,106932576.23299979
2016-07-11,106480871.23299979
2016-07-12,106724516.23299979
2016-07-13,109272872.23299979
2016-07-14,109881430.23299979
2016-07-15,109604250.23299979
2016-07-18,109552098.23299979
2016-07-19,108970336.23299979
