,value
2012-10-16,95067022.1739998
2012-10-17,95067022.1739998
2012-10-18,95067022.1739998
2012-10-19,95067022.1739998
2012-10-22,95067022.1739998
2012-10-23,95067022.1739998
2012-10-24,95067022.1739998
2012-10-25,95067022.1739998
2012-10-26,95067022.1739998
2012-10-29,95067022.1739998
2012-10-30,95067022.1739998
2012-10-31,95067022.1739998
2012-11-01,95067022.1739998
2012-11-02,96560828.69299977
2012-11-05,96909249.69299975
2012-11-06,96617997.69299975
2012-11-07,95808437.69299975
2012-11-08,95973882.69299974
2012-11-09,93815601.69299974
2012-11-12,93606420.69299974
2012-11-13,94526205.69299974
2012-11-14,92624451.69299974
2012-11-15,93298887.69299975
2012-11-16,91753148.69299975
2012-11-19,91273029.69299975
2012-11-20,91482374.69299974
2012-11-21,91121215.69299974
