,value
2014-07-31,91401004.39399996
2014-08-01,92570837.39399996
2014-08-04,91798371.78299995
2014-08-05,93266450.78299995
2014-08-06,93503283.78299996
2014-08-07,93402931.78299996
2014-08-08,92051079.78299996
2014-08-11,92064789.78299998
2014-08-12,93433006.78299998
2014-08-13,93567973.78299998
2014-08-14,93754479.78299999
2014-08-15,92811396.78299999
2014-08-18,93737360.78299999
2014-08-19,94793403.78299999
2014-08-20,95105895.78299998
2014-08-21,94957292.78299998
2014-08-22,94838721.78299998
2014-08-25,95033598.78299998
2014-08-26,94640002.78299998
2014-08-27,93444733.78299998
2014-08-28,93398990.78299998
2014-08-29,93017007.78299998
2014-09-01,93833770.78299998
2014-09-02,93881587.34999995
2014-09-03,93881587.34999995
2014-09-04,93881587.34999995
2014-09-05,93881587.34999995
2014-09-09,93881587.34999995
2014-09-10,93881587.34999995
2014-09-11,93881587.34999995
2014-09-12,93881587.34999995
2014-09-15,93881587.34999995
2014-09-16,93881587.34999995
2014-09-17,93881587.34999995
2014-09-18,93881587.34999995
2014-09-19,93881587.34999995
2014-09-22,93881587.34999995
2014-09-23,93881587.34999995
2014-09-24,93881587.34999995
2014-09-25,93881587.34999995
2014-09-26,93881587.34999995
2014-09-29,93881587.34999995
2014-09-30,93881587.34999995
2014-10-08,93881587.34999995
2014-10-09,94772508.65999989
2014-10-10,94761781.65999989
2014-10-13,94270259.65999989
2014-10-14,93919667.65999989
2014-10-15,93656658.65999989
2014-10-16,94729751.65999989
2014-10-17,93731492.65999989
2014-10-20,93230152.65999989
2014-10-21,94020234.65999989
2014-10-22,93153480.65999989
2014-10-23,92434116.65999989
2014-10-24,91376300.65999989
2014-10-27,91394414.65999989
2014-10-28,91086510.65999989
2014-10-29,92857537.65999989
2014-10-30,93929088.65999989
2014-10-31,94600096.65999989
2014-11-03,95535444.65999988
2014-11-04,96003400.62599991
2014-11-05,96270296.62599993
2014-11-06,96201540.62599993
2014-11-07,96182759.62599993
2014-11-10,95196501.62599993
2014-11-11,96965789.62599991
2014-11-12,95560253.62599991
2014-11-13,97037533.62599991
2014-11-14,96377172.62599991
2014-11-17,96316318.62599991
2014-11-18,96657722.62599993
2014-11-19,96442733.62599993
2014-11-20,96442296.62599993
2014-11-21,96120868.62599993
2014-11-24,97417124.62599993
2014-11-25,99083413.62599993
2014-11-26,100867095.62599993
2014-11-27,101135653.62599993
2014-11-28,101408914.62599993
2014-12-01,101606777.62599993
2014-12-02,101729036.93899997
2014-12-03,101729036.93899997
2014-12-04,101729036.93899997
2014-12-05,101729036.93899997
2014-12-08,101729036.93899997
2014-12-09,101729036.93899997
2014-12-10,101729036.93899997
2014-12-11,101729036.93899997
2014-12-12,101729036.93899997
2014-12-15,101729036.93899997
2014-12-16,101729036.93899997
2014-12-17,101729036.93899997
2014-12-18,101729036.93899997
2014-12-19,101729036.93899997
2014-12-22,101729036.93899997
2014-12-23,101729036.93899997
2014-12-24,101729036.93899997
2014-12-25,101729036.93899997
2014-12-26,101729036.93899997
2014-12-29,101729036.93899997
2014-12-30,101729036.93899997
2014-12-31,101729036.93899997
2015-01-05,101729036.93899997
2015-01-06,104312873.46900003
2015-01-07,104829927.46900003
2015-01-08,104953743.46900004
2015-01-09,103011665.46900004
2015-01-12,101972280.46900004
2015-01-13,100329080.46900004
2015-01-14,100787183.46900004
2015-01-15,100454068.46900004
2015-01-16,102720231.46900004
2015-01-19,103884027.46900006
2015-01-20,97842623.46900006
2015-01-21,99715226.46900006
2015-01-22,103337298.46900006
2015-01-23,104449729.46900006
2015-01-26,103830854.46900006
2015-01-27,105529980.46900004
2015-01-28,104986419.46900004
2015-01-29,103904417.46900004
2015-01-30,102629778.46900004
2015-02-02,101182904.46900004
2015-02-03,99751801.82500005
2015-02-04,99751801.82500005
2015-02-05,99751801.82500005
