,value
2014-02-19,83137507.23800044
2014-02-20,83137507.23800044
2014-02-21,83137507.23800044
2014-02-24,83137507.23800044
2014-02-25,83137507.23800044
2014-02-26,83137507.23800044
2014-02-27,83137507.23800044
2014-02-28,83137507.23800044
2014-03-03,83137507.23800044
2014-03-04,83880255.01400042
2014-03-05,83676843.01400042
2014-03-06,83564300.01400042
2014-03-07,83835176.01400042
2014-03-10,83636216.01400042
2014-03-11,80443254.0140004
2014-03-12,80842154.0140004
2014-03-13,81089154.0140004
2014-03-14,82058604.01400042
2014-03-17,81045057.01400042
2014-03-18,81915626.01400043
2014-03-19,81954801.01400043
2014-03-20,81456079.01400043
2014-03-21,80001157.01400043
2014-03-24,82417660.01400045
2014-03-25,83363321.01400045
2014-03-26,83281748.01400045
2014-03-27,82795759.01400045
2014-03-28,81714675.01400045
2014-03-31,81015859.01400045
2014-04-01,80754830.01400045
2014-04-02,81556969.74300045
2014-04-03,82342982.74300045
2014-04-04,81544024.74300045
2014-04-08,82285503.74300045
2014-04-09,83643050.74300046
2014-04-10,83949393.74300046
2014-04-11,84399605.74300046
2014-04-14,83980185.74300046
2014-04-15,84675300.74300046
2014-04-16,83833245.74300046
2014-04-17,83695673.74300046
2014-04-18,83583679.74300046
2014-04-21,83453888.74300046
2014-04-22,81953303.74300046
2014-04-23,81872880.74300046
2014-04-24,81501275.74300046
2014-04-25,81163483.74300046
2014-04-28,80055067.74300046
2014-04-29,78346091.74300045
2014-04-30,79613282.74300045
2014-05-05,80004385.74300045
2014-05-06,80033932.23000045
2014-05-07,80121930.23000045
2014-05-08,79316741.23000045
2014-05-09,79437910.23000045
2014-05-12,79450044.23000045
2014-05-13,81863252.23000047
2014-05-14,81732484.23000047
2014-05-15,81528768.23000047
2014-05-16,80254101.23000047
2014-05-19,80136955.23000047
2014-05-20,79302893.23000047
2014-05-21,78939526.23000047
2014-05-22,79780721.23000048
2014-05-23,79571855.23000048
2014-05-26,80075258.23000048
2014-05-27,80561832.23000048
2014-05-28,80040987.23000048
2014-05-29,80691191.23000048
2014-05-30,79909588.23000048
2014-06-03,80210925.23000048
2014-06-04,80178893.5390005
2014-06-05,80178893.5390005
2014-06-06,80178893.5390005
2014-06-09,80178893.5390005
2014-06-10,80178893.5390005
2014-06-11,80178893.5390005
2014-06-12,80178893.5390005
2014-06-13,80178893.5390005
2014-06-16,80178893.5390005
2014-06-17,80178893.5390005
2014-06-18,80178893.5390005
2014-06-19,80178893.5390005
2014-06-20,80178893.5390005
2014-06-23,80178893.5390005
2014-06-24,80178893.5390005
2014-06-25,80178893.5390005
2014-06-26,80178893.5390005
2014-06-27,80178893.5390005
2014-06-30,80178893.5390005
2014-07-01,80178893.5390005
2014-07-02,80268626.2440005
2014-07-03,80761213.24400051
2014-07-04,81157559.24400051
2014-07-07,80872862.24400051
2014-07-08,80802078.24400051
2014-07-09,81334915.24400051
2014-07-10,80059477.24400051
2014-07-11,80068372.24400051
2014-07-14,80633911.24400051
2014-07-15,81632141.24400052
2014-07-16,81502061.24400052
2014-07-17,81241607.24400052
2014-07-18,80815504.24400052
2014-07-21,81090715.24400052
2014-07-22,81090781.24400052
2014-07-23,82387702.24400054
2014-07-24,82415888.24400052
2014-07-25,83539776.24400052
2014-07-28,84905508.24400054
2014-07-29,86936875.24400055
2014-07-30,87504825.24400055
2014-07-31,87436605.24400055
2014-08-01,88441596.24400055
2014-08-04,87256606.18900055
2014-08-05,89231164.18900055
2014-08-06,89552877.18900055
2014-08-07,89818446.18900055
2014-08-08,88778184.18900055
2014-08-11,89007502.18900053
2014-08-12,90291721.18900053
2014-08-13,90336678.18900053
2014-08-14,90739359.18900055
2014-08-15,89602843.18900055
2014-08-18,90582681.18900055
2014-08-19,91591594.18900056
2014-08-20,91601568.18900055
2014-08-21,91519966.18900055
2014-08-22,91207702.18900055
2014-08-25,91632446.18900055
2014-08-26,90982279.18900055
2014-08-27,89833082.18900053
2014-08-28,90214984.18900053
2014-08-29,89374103.18900053
2014-09-01,90370124.18900055
2014-09-02,90301588.07200055
2014-09-03,90301588.07200055
2014-09-04,90301588.07200055
2014-09-05,90301588.07200055
2014-09-09,90301588.07200055
2014-09-10,90301588.07200055
2014-09-11,90301588.07200055
2014-09-12,90301588.07200055
2014-09-15,90301588.07200055
2014-09-16,90301588.07200055
2014-09-17,90301588.07200055
2014-09-18,90301588.07200055
2014-09-19,90301588.07200055
2014-09-22,90301588.07200055
2014-09-23,90301588.07200055
2014-09-24,90301588.07200055
2014-09-25,90301588.07200055
2014-09-26,90301588.07200055
2014-09-29,90301588.07200055
2014-09-30,90301588.07200055
2014-10-08,90301588.07200055
2014-10-09,90805826.87600055
2014-10-10,90939772.87600055
2014-10-13,90385769.87600055
2014-10-14,90430782.87600055
2014-10-15,90190478.87600055
2014-10-16,90524969.87600057
2014-10-17,89458096.87600057
2014-10-20,89147077.87600057
2014-10-21,89822989.87600057
2014-10-22,89071583.87600057
2014-10-23,88245480.87600057
2014-10-24,87178688.87600057
2014-10-27,86698092.87600057
2014-10-28,86287784.87600057
2014-10-29,88487118.87600058
2014-10-30,90045232.8760006
2014-10-31,90471074.8760006
2014-11-03,91064435.8760006
2014-11-04,91591938.5660006
2014-11-05,92061056.5660006
2014-11-06,91790475.5660006
2014-11-07,92343028.56600061
2014-11-10,91746418.56600061
2014-11-11,93582655.56600061
2014-11-12,92018963.56600061
2014-11-13,93843108.56600063
2014-11-14,93355943.56600063
2014-11-17,93338057.56600063
2014-11-18,93323366.56600063
2014-11-19,93454042.56600061
2014-11-20,93573714.56600061
2014-11-21,93560148.56600061
2014-11-24,94960897.56600063
2014-11-25,97079820.56600064
2014-11-26,98400082.56600066
2014-11-27,98842401.56600066
2014-11-28,99815944.56600066
2014-12-01,100751063.56600066
2014-12-02,100960922.06800061
2014-12-03,100960922.06800061
2014-12-04,100960922.06800061
2014-12-05,100960922.06800061
2014-12-08,100960922.06800061
2014-12-09,100960922.06800061
2014-12-10,100960922.06800061
2014-12-11,100960922.06800061
2014-12-12,100960922.06800061
2014-12-15,100960922.06800061
2014-12-16,100960922.06800061
2014-12-17,100960922.06800061
2014-12-18,100960922.06800061
2014-12-19,100960922.06800061
2014-12-22,100960922.06800061
2014-12-23,100960922.06800061
2014-12-24,100960922.06800061
2014-12-25,100960922.06800061
2014-12-26,100960922.06800061
2014-12-29,100960922.06800061
2014-12-30,100960922.06800061
2014-12-31,100960922.06800061
2015-01-05,100960922.06800061
2015-01-06,103445404.2610006
2015-01-07,104775790.2610006
2015-01-08,104462437.2610006
2015-01-09,103219810.2610006
2015-01-12,102461729.2610006
2015-01-13,101583862.2610006
2015-01-14,102383992.2610006
2015-01-15,101159646.26100059
2015-01-16,102737174.2610006
2015-01-19,104252569.2610006
2015-01-20,99169811.26100057
2015-01-21,101462497.26100057
2015-01-22,104532011.2610006
2015-01-23,105610540.2610006
2015-01-26,104986250.2610006
2015-01-27,106974843.26100062
2015-01-28,107325766.26100063
2015-01-29,106295671.26100063
2015-01-30,105330817.26100062
2015-02-02,103545385.26100062
2015-02-03,101791550.06300062
2015-02-04,101791550.06300062
2015-02-05,101791550.06300062
2015-02-06,101791550.06300062
2015-02-09,101791550.06300062
2015-02-10,101791550.06300062
2015-02-11,101791550.06300062
2015-02-12,101791550.06300062
2015-02-13,101791550.06300062
2015-02-16,101791550.06300062
2015-02-17,101791550.06300062
2015-02-25,101791550.06300062
2015-02-26,101791550.06300062
2015-02-27,101791550.06300062
2015-03-02,101791550.06300062
2015-03-03,101791550.06300062
2015-03-04,101791550.06300062
2015-03-05,101791550.06300062
2015-03-06,101791550.06300062
2015-03-09,101791550.06300062
2015-03-10,101791550.06300062
2015-03-11,101791550.06300062
2015-03-12,101791550.06300062
2015-03-13,101791550.06300062
2015-03-16,101791550.06300062
2015-03-17,101791550.06300062
2015-03-18,101791550.06300062
2015-03-19,101791550.06300062
2015-03-20,101791550.06300062
2015-03-23,101791550.06300062
2015-03-24,101791550.06300062
2015-03-25,101791550.06300062
2015-03-26,101791550.06300062
2015-03-27,101791550.06300062
2015-03-30,101791550.06300062
2015-03-31,101791550.06300062
2015-04-01,101791550.06300062
2015-04-02,103292035.2810006
2015-04-03,104009709.2810006
2015-04-07,105089074.28100061
2015-04-08,107014562.28100063
2015-04-09,106269365.28100063
2015-04-10,104539998.28100061
2015-04-13,106848050.28100063
2015-04-14,108518147.28100063
2015-04-15,108375631.28100063
2015-04-16,105360179.28100061
2015-04-17,107478146.28100061
2015-04-20,109675349.28100061
2015-04-21,108585376.2810006
2015-04-22,111211140.28100061
2015-04-23,114084288.28100063
2015-04-24,115102370.28100063
2015-04-27,115366083.28100063
2015-04-28,117190339.28100063
2015-04-29,114069868.28100061
2015-04-30,115635537.28100063
2015-05-04,115047536.28100061
2015-05-05,114394675.09900063
2015-05-06,110163873.09900062
2015-05-07,108882143.09900062
2015-05-08,107372913.0990006
2015-05-11,109992463.09900062
2015-05-12,114241325.09900063
2015-05-13,116272143.09900065
2015-05-14,116076617.09900065
2015-05-15,116108186.09900066
2015-05-18,115228144.09900066
2015-05-19,115124353.09900066
2015-05-20,118158311.09900068
2015-05-21,118646344.09900069
2015-05-22,120938750.09900069
2015-05-25,123120904.09900069
2015-05-26,126172905.0990007
2015-05-27,128718861.09900072
2015-05-28,128681761.09900072
2015-05-29,119723997.09900068
2015-06-01,119964151.09900068
2015-06-02,120636584.29400069
2015-06-03,120636584.29400069
2015-06-04,120636584.29400069
2015-06-05,120636584.29400069
2015-06-08,120636584.29400069
2015-06-09,120636584.29400069
2015-06-10,120636584.29400069
2015-06-11,120636584.29400069
2015-06-12,120636584.29400069
2015-06-15,120636584.29400069
2015-06-16,120636584.29400069
2015-06-17,120636584.29400069
2015-06-18,120636584.29400069
2015-06-19,120636584.29400069
2015-06-23,120636584.29400069
2015-06-24,120636584.29400069
2015-06-25,120636584.29400069
2015-06-26,120636584.29400069
2015-06-29,120636584.29400069
2015-06-30,120636584.29400069
2015-07-01,120636584.29400069
2015-07-02,115982718.36100063
2015-07-03,108839871.36100058
2015-07-06,103130366.36100055
2015-07-07,102494470.36100055
2015-07-08,97648567.36100052
2015-07-09,91835161.3610005
2015-07-10,97523761.36100052
2015-07-13,103560933.36100055
2015-07-14,109791993.36100058
2015-07-15,109391154.36100058
2015-07-16,102073473.36100054
2015-07-17,104209114.36100055
2015-07-20,109797444.36100057
2015-07-21,110871540.36100057
2015-07-22,111450270.36100058
2015-07-23,113020461.36100058
2015-07-24,115785811.36100061
2015-07-27,114505156.3610006
2015-07-28,105235474.36100055
2015-07-29,104267343.36100054
2015-07-30,109058846.36100057
2015-07-31,105757299.36100055
2015-08-03,104674380.36100055
2015-08-04,103259510.49900053
2015-08-05,107165388.49900056
2015-08-06,105203405.49900056
2015-08-07,104074900.49900055
2015-08-10,106667842.49900056
2015-08-11,111399300.4990006
2015-08-12,111075159.4990006
2015-08-13,110497221.4990006
2015-08-14,112576045.49900061
2015-08-17,112719972.49900061
2015-08-18,114075796.49900061
2015-08-19,107198620.49900056
2015-08-20,109141807.49900056
2015-08-21,104897974.49900053
2015-08-24,100198813.4990005
2015-08-25,92333103.49900047
2015-08-26,85946220.49900045
2015-08-27,84277131.49900045
2015-08-28,88451157.49900046
2015-08-31,92700716.49900047
2015-09-01,93168629.49900047
2015-09-02,91908227.03400047
2015-09-07,91204074.03400047
