datetime,ret
2012-09-28,0.9271001317999977
2012-10-08,0.9438506617999977
2012-10-09,0.9347801352399976
2012-10-10,0.9555504652399975
2012-10-11,0.9585969752399975
2012-10-12,0.9462850252399976
2012-10-15,0.9441494552399976
2012-10-16,0.9406399852399976
2012-10-17,0.9396439352399977
2012-10-18,0.9380809452399976
2012-10-19,0.9521731652399976
2012-10-22,0.9520623052399976
2012-10-23,0.9589402552399976
2012-10-24,0.9462765052399976
2012-10-25,0.9423930152399976
2012-10-26,0.9374631052399977
2012-10-29,0.9171073252399977
2012-10-30,0.9124632752399977
2012-10-31,0.9148272752399977
2012-11-01,0.9200079452399977
2012-11-02,0.9360713593399974
2012-11-05,0.9382773293399974
2012-11-06,0.9361555393399974
2012-11-07,0.9278936093399974
2012-11-08,0.9265673693399974
